time,coin,dir,px,sz,ntl,fee,closedPnl
4/3/2026 - 14:50:14,BTC,Open Long,66480,0.00793,527.1864,0.075914,-0.075914
4/3/2026 - 15:30:15,BTC,Close Long,66877,0.00793,530.33461,0.229104,2.919106
4/4/2026 - 11:52:19,BTC,Open Short,67111,0.01462,981.16282,0.141287,-0.141287
4/4/2026 - 14:40:03,BTC,Close Short,67201,0.01462,982.47862,0.42443,-1.74023
4/5/2026 - 07:01:30,BTC,Open Long,66873,0.00029,19.39317,0.002792,-0.002792
4/5/2026 - 07:01:31,BTC,Open Long,66873,0.01416,946.92168,0.136356,-0.136356
4/5/2026 - 07:10:04,BTC,Close Long,66651.0269896194,0.01445,963.10734,0.416058,-3.623568
4/5/2026 - 13:35:04,BTC,Open Long,66715,0.01403,936.01145,0.134785,-0.134785
4/5/2026 - 16:17:02,BTC,Close Long,66951,0.01403,939.32253,0.135262,3.175818
4/5/2026 - 20:20:55,BTC,Open Short,67492,0.01423,960.41116,0.138299,-0.138299
4/5/2026 - 20:38:45,BTC,Close Short,67301,0.01423,957.69323,0.137907,2.580023
4/5/2026 - 21:40:04,BTC,Open Short,67653,0.0013,87.9489,0.012664,-0.012664
4/5/2026 - 21:40:04,BTC,Open Short,67653,0.00024,16.23672,0.002338,-0.002338
4/5/2026 - 21:40:04,BTC,Open Short,67653,0.00147,99.44991,0.01432,-0.01432
4/5/2026 - 21:40:04,BTC,Open Short,67653,0.00886,599.40558,0.086313,-0.086313
4/5/2026 - 21:40:05,BTC,Open Short,67653,0.00262,177.25086,0.025524,-0.025524
4/5/2026 - 22:13:04,BTC,Close Short,67394,0.01449,976.53906,0.140621,3.612289
4/6/2026 - 16:15:03,BTC,Open Short,69692,0.01447,1008.44324,0.435647,-0.435647
4/6/2026 - 16:44:36,BTC,Close Short,69810,0.01447,1010.1507,0.436385,-2.143845
4/7/2026 - 09:20:18,BTC,Open Short,68749,0.01436,987.23564,0.142161,-0.142161
4/7/2026 - 09:35:33,BTC,Close Short,68825.7374651811,0.01436,988.337590000001,0.426954,-1.528904
4/7/2026 - 09:43:45,BTC,Open Short,68844,0.01415,974.1426,0.140276,-0.140276
4/7/2026 - 09:52:26,BTC,Close Short,68952,0.01415,975.6708,0.421489,-1.949689
4/7/2026 - 10:06:37,BTC,Open Short,68956,0.00913,629.56828,0.090657,-0.090657
4/7/2026 - 10:10:04,BTC,Close Short,69187,0.00913,631.67731,0.272884,-2.381914
4/8/2026 - 13:15:27,BTC,Open Short,71822,0.00318,228.39396,0.032888,-0.032888
4/8/2026 - 13:15:27,BTC,Open Short,71822,0.00987,708.88314,0.102079,-0.102079
4/8/2026 - 13:21:29,BTC,Close Short,71598,0.01305,934.3539,0.134546,2.788654
4/8/2026 - 20:00:04,BTC,Open Long,71026,0.00735,522.0411,0.225521,-0.225521
4/8/2026 - 22:12:04,BTC,Close Long,71524,0.00735,525.7014,0.075701,3.584599
4/9/2026 - 09:40:04,BTC,Open Short,71108,0.01386,985.55688,0.42576,-0.42576
4/9/2026 - 09:45:07,BTC,Close Short,71277,0.01386,987.89922,0.426772,-2.769112
4/10/2026 - 02:40:04,BTC,Open Short,72265,0.00769,555.71785,0.24007,-0.24007
4/10/2026 - 04:06:16,BTC,Close Short,71871,0.00769,552.68799,0.079587,2.950273
4/10/2026 - 12:05:12,BTC,Open Short,71969,0.01358,977.33902,0.140736,-0.140736
4/10/2026 - 12:13:23,BTC,Close Short,72104,0.01358,979.17232,0.423002,-2.256302
4/10/2026 - 12:15:04,BTC,Open Short,72125,0.01049,756.59125,0.326847,-0.326847
4/10/2026 - 13:22:06,BTC,Close Short,72270,0.01049,758.1123,0.327504,-1.848554
4/10/2026 - 15:15:04,BTC,Open Short,72723,0.00745,541.78635,0.234051,-0.234051
4/10/2026 - 15:21:24,BTC,Close Short,72920,0.00745,543.254,0.234685,-1.702335
4/10/2026 - 15:25:09,BTC,Open Short,73030,0.00557,406.7771,0.058575,-0.058575
4/14/2026 - 14:10:06,BTC,Close Short,74530,0.00557,415.1321,0.179337,-8.534337
4/15/2026 - 01:05:19,BTC,Open Short,74459,0.00224,166.78816,0.024017,-0.024017
4/15/2026 - 01:05:19,BTC,Open Short,74459,0.00934,695.44706,0.100144,-0.100144
4/15/2026 - 01:10:03,BTC,Close Short,74564,0.01158,863.45112,0.373008,-1.588908
4/18/2026 - 00:20:05,BTC,Open Long,76849,0.01031,792.31319,0.342279,-0.342279
4/18/2026 - 02:14:02,BTC,Close Long,77264,0.01031,796.59184,0.114709,4.163941
4/18/2026 - 04:55:19,BTC,Open Long,76965,0.01143,879.70995,0.126678,-0.126678
4/18/2026 - 05:00:29,BTC,Close Long,76925,0.01143,879.25275,0.379837,-0.837037
4/20/2026 - 06:20:05,BTC,Open Long,74179,0.01133,840.44807,0.363073,-0.363073
4/20/2026 - 07:32:54,BTC,Close Long,74425,0.01133,843.23525,0.121425,2.665755
4/21/2026 - 18:20:04,BTC,Open Long,75032,0.00367,275.36744,0.118958,-0.118958
4/21/2026 - 18:43:54,BTC,Close Long,75849,0.00367,278.36583,0.040084,2.958306
4/23/2026 - 00:25:04,BTC,Open Long,78196,0.00933,729.56868,0.315173,-0.315173
4/23/2026 - 01:11:07,BTC,Close Long,78008,0.00933,727.81464,0.314415,-2.068455
4/24/2026 - 04:31:32,BTC,Open Long,77667,0.01151,893.94717,0.128728,-0.128728
4/24/2026 - 05:39:38,BTC,Close Long,77480,0.01151,891.7948,0.385255,-2.537625
4/24/2026 - 10:10:04,BTC,Open Long,77413,0.00886,685.87918,0.296299,-0.296299
4/24/2026 - 11:55:40,BTC,Close Long,77730,0.00014,10.8822,0.001567,0.042813
4/24/2026 - 11:55:40,BTC,Close Long,77730,0.00007,5.4411,0.000783,0.021407
4/24/2026 - 11:55:41,BTC,Close Long,77730,0.00865,672.3645,0.09682,2.64523
4/24/2026 - 15:05:04,BTC,Open Long,77857,0.01146,892.24122,0.128482,-0.128482
4/24/2026 - 15:25:19,BTC,Close Long,77781,0.01146,891.37026,0.385071,-1.256031
4/24/2026 - 15:30:21,BTC,Open Long,77652,0.01134,880.57368,0.126801,-0.126801
4/24/2026 - 16:06:39,BTC,Close Long,77570,0.01134,879.6438,0.380006,-1.309886
4/24/2026 - 23:43:52,BTC,Open Long,77268,0.01125,869.265,0.125174,-0.125174
4/25/2026 - 02:45:17,BTC,Close Long,77541,0.01125,872.33625,0.125616,2.945634
4/25/2026 - 06:05:06,BTC,Open Long,77452,0.01151,891.47252,0.385116,-0.385116
4/25/2026 - 08:02:34,BTC,Close Long,77412,0.01151,891.01212,0.384917,-0.845317
4/25/2026 - 09:35:14,BTC,Open Short,77614,0.01136,881.69504,0.126964,-0.126964
4/25/2026 - 10:39:49,BTC,Close Short,77694,0.01136,882.60384,0.381284,-1.290084
4/25/2026 - 16:50:04,BTC,Open Long,77468,0.01124,870.74032,0.376159,-0.376159
4/25/2026 - 16:55:06,BTC,Close Long,77285,0.01124,868.6834,0.375271,-2.432191
4/26/2026 - 04:30:04,BTC,Open Long,77388,0.01096,848.17248,0.122136,-0.122136
4/26/2026 - 04:35:04,BTC,Close Long,77307.7135036496,0.01096,847.29254,0.366026,-1.245966
4/27/2026 - 06:00:09,BTC,Open Long,78890,0.00217,171.1913,0.024651,-0.024651
4/27/2026 - 06:00:10,BTC,Open Long,78890,0.0044,347.116,0.049984,-0.049984
4/27/2026 - 06:00:14,BTC,Open Long,78890,0.00404,318.7156,0.045895,-0.045895
4/27/2026 - 06:05:05,BTC,Close Long,78715,0.01061,835.16615,0.360791,-2.217541
4/28/2026 - 03:40:07,BTC,Open Long,76658,0.00699,535.83942,0.07716,-0.07716
4/28/2026 - 07:50:07,BTC,Close Long,76645,0.00699,535.74855,0.231443,-0.322313
4/28/2026 - 08:15:15,BTC,Open Long,76500,0.00802,613.53,0.088348,-0.088348
4/28/2026 - 08:40:30,BTC,Close Long,76824,0.00802,616.12848,0.088722,2.509758
4/28/2026 - 20:45:03,BTC,Open Short,76287,0.01094,834.57978,0.360538,-0.360538
4/28/2026 - 21:04:33,BTC,Close Short,76400,0.01094,835.816,0.361072,-1.597292
4/28/2026 - 23:55:03,BTC,Open Long,76176,0.01075,818.892,0.353761,-0.353761
4/29/2026 - 01:04:11,BTC,Close Long,76338,0.01075,820.6335,0.118171,1.623329
4/29/2026 - 01:55:15,BTC,Open Short,76507,0.01084,829.33588,0.119424,-0.119424
4/29/2026 - 02:08:49,BTC,Close Short,76304,0.01084,827.13536,0.119107,2.081413
4/29/2026 - 10:35:04,BTC,Open Short,77184,0.01095,845.1648,0.365111,-0.365111
4/29/2026 - 10:42:04,BTC,Close Short,77219,0.01095,845.54805,0.365276,-0.748526
